,status,time,LoanOriginalAmount2,IsBorrowerHomeowner
578,0,1096,1.5,0
579,0,974,0.1,1
580,0,759,0.11,1
581,0,360,0.1,1
582,0,342,0.15,0
583,1,272,0.17,1
584,0,1096,0.1,1
585,0,527,0.1,1
586,0,1031,0.3,1
587,0,547,0.3,0
588,0,518,0.3,1
589,1,211,1.5,0
590,0,140,0.26,1
591,0,182,0.1,1
592,0,52,0.5,0
593,0,1096,0.255,1
594,1,243,0.3,1
595,1,302,0.1,1
596,0,1096,2.0,0
597,0,883,0.25,0
598,0,1096,0.3,1
599,1,241,0.1,1
600,0,1066,0.75,1
601,0,184,0.2,0
602,1,333,0.175,1
603,1,213,0.255,1
604,0,535,2.5,1
605,0,1096,0.3001,0
606,0,57,0.1,0
607,1,212,1.5001,1
608,1,944,0.255,1
609,0,209,0.3,1
610,0,541,0.15,0
611,0,1096,0.2,0
612,0,137,0.1,1
613,0,1096,1.56,1
614,0,497,0.5,0
615,1,304,0.45,1
616,1,394,1.505,0
617,0,368,0.1,1
618,0,1096,0.4,0
619,0,410,0.6,0
620,1,305,0.35,1
621,1,303,0.1,1
622,0,932,1.63,1
623,0,1096,0.1,1
624,0,70,0.1,1
625,0,1096,0.73,1
626,0,1098,0.55,1
627,0,157,0.3,1
628,0,1096,0.3,0
629,0,762,0.8,0
630,0,917,0.5,0
631,1,364,0.2,1
632,0,90,0.262,1
633,0,251,0.1,1
634,1,395,0.5,1
635,0,351,0.1361,0
636,1,274,0.255,1
637,0,1096,0.5,0
638,1,305,0.5,1
639,0,667,0.5,0
640,1,212,0.5,1
641,0,161,0.22899999999999998,0
642,0,1113,0.9,1
643,1,182,0.36,1
644,0,834,0.1,1
645,1,333,0.2,0
646,1,213,0.255,1
647,0,539,0.25,1
648,0,1107,0.5,1
649,1,212,0.2,1
650,1,305,0.8,1
651,1,182,0.2,1
652,0,1105,0.255,1
653,0,1014,0.1,1
654,0,1096,0.3,1
655,1,182,0.125,1
656,0,972,0.6001,1
657,0,1096,0.1,1
658,1,152,0.22,1
659,0,405,0.15,1
660,0,1096,2.5,1
661,0,1096,0.175,1
662,0,617,0.25,1
663,0,594,0.3,0
664,1,424,0.3,1
665,1,333,1.0,1
666,1,335,0.3001,1
667,0,1096,0.255,1
668,0,1096,0.275,1
669,0,929,0.94,1
670,1,424,0.255,1
671,0,1096,0.75,1
672,0,136,1.1,0
673,0,1096,0.1,1
674,0,976,0.5,1
675,1,305,0.3,0
676,0,1096,0.575,0
677,0,784,0.1,1
678,0,462,0.5,0
679,1,517,0.3001,1
680,0,217,0.17,1
681,0,53,0.15,0
682,0,1096,2.5,0
683,0,798,0.9,0
684,0,898,0.1,1
685,0,409,1.0,0
686,1,394,0.5255,1
687,0,1071,0.1,0
688,0,1096,0.415,0
689,0,740,0.255,1
690,0,1096,0.29,0
691,1,458,0.3,1
692,0,1096,0.7,1
693,0,1096,0.255,1
694,1,182,0.1,1
695,1,1219,0.3,0
696,0,986,0.4,1
697,0,1096,0.22,0
698,0,1089,0.125,0
699,0,554,0.26,1
700,0,703,0.75,0
701,1,182,0.33,1
702,0,486,0.28,1
703,0,1096,0.3,1
704,0,160,0.33,0
705,0,1071,0.8,0
706,1,333,1.0,1
707,0,252,0.2,1
708,1,151,1.0,1
709,0,1096,1.1,1
710,0,477,1.06,1
711,1,151,0.1,1
712,0,675,0.19,1
713,1,333,0.3001,0
714,0,1096,1.0,1
715,0,250,0.3,1
716,0,966,0.3,1
717,1,151,0.12,0
718,0,531,0.2,1
719,0,229,0.15,0
720,1,151,0.15,1
721,0,358,0.75,0
722,1,183,0.4,0
723,0,548,0.3001,0
724,0,1096,0.75,1
725,1,364,0.3,1
726,0,1096,0.65,1
727,0,1096,0.5,0
728,0,1065,0.3,1
729,1,395,0.3,1
730,0,71,0.3001,1
731,0,1096,0.75,0
732,1,395,0.1,0
733,0,795,0.2,1
734,0,650,0.4,0
735,0,858,0.9,1
736,1,547,0.48,0
737,0,769,0.5,1
738,1,213,0.3,1
739,0,230,0.51,1
740,1,364,0.3,0
741,0,757,0.8,0
742,0,1096,0.5,1
743,0,1096,1.0,0
744,0,105,0.33,1
745,0,1096,0.4,1
746,1,333,1.0,1
747,0,407,0.3,1
748,0,1096,0.5,0
749,0,490,0.1,1
750,0,1103,0.255,1
751,0,304,0.25,1
752,1,1097,0.1,0
753,0,1096,0.15,1
754,0,269,0.2,1
755,1,212,0.255,1
